,count,mean,std,min,25%,50%,75%,max
MRR,442.0,602.2003619909502,721.241527101212,52.92,80.36,294.52,738.52,3177.88
Seats,442.0,6.868778280542986,2.449669856173225,1.0,5.0,7.0,9.0,16.0
Logins,4706.0,10.365065873353165,6.564173797752039,0.0,5.0,9.0,15.0,36.0
ActiveUsers,4706.0,5.7207819804504885,4.464789809022206,0.0,2.0,5.0,8.0,27.0
APICalls,4706.0,1167.5433489162772,1231.5312695745138,0.0,305.25,768.0,1576.0,9103.0
SessionMinutes,4706.0,232.46158096047597,94.40733136510589,0.0,169.3,235.5,299.2,502.0
